model,month,count,baseline_avg6,signal
CARNIVAL HYBRID,2023-04,0,0.0,False
CARNIVAL HYBRID,2023-05,0,0.0,False
CARNIVAL HYBRID,2023-06,0,0.0,False
CARNIVAL HYBRID,2023-07,0,0.0,False
CARNIVAL HYBRID,2023-08,0,0.0,False
CARNIVAL HYBRID,2023-09,0,0.0,False
CARNIVAL HYBRID,2023-10,0,0.0,False
CARNIVAL HYBRID,2023-11,0,0.0,False
CARNIVAL HYBRID,2023-12,0,0.0,False
CARNIVAL HYBRID,2024-01,0,0.0,False
CARNIVAL HYBRID,2024-02,0,0.0,False
CARNIVAL HYBRID,2024-03,0,0.0,False
CARNIVAL HYBRID,2024-04,0,0.0,False
CARNIVAL HYBRID,2024-05,0,0.0,False
CARNIVAL HYBRID,2024-06,0,0.0,False
CARNIVAL HYBRID,2024-07,0,0.0,False
CARNIVAL HYBRID,2024-08,0,0.0,False
CARNIVAL HYBRID,2024-09,0,0.0,False
CARNIVAL HYBRID,2024-10,0,0.0,False
CARNIVAL HYBRID,2024-11,1,0.0,False
CARNIVAL HYBRID,2024-12,1,0.16666666666666666,False
CARNIVAL HYBRID,2025-01,7,0.3333333333333333,False
CARNIVAL HYBRID,2025-02,6,1.5,False
CARNIVAL HYBRID,2025-03,3,2.5,False
CARNIVAL HYBRID,2025-04,4,3.0,False
CARNIVAL HYBRID,2025-05,3,3.6666666666666665,False
CARNIVAL HYBRID,2025-06,1,4.0,False
CARNIVAL HYBRID,2025-07,1,4.0,False
CARNIVAL HYBRID,2025-08,4,3.0,False
CARNIVAL HYBRID,2025-09,3,2.6666666666666665,False
CARNIVAL HYBRID,2025-10,2,2.6666666666666665,False
CARNIVAL HYBRID,2025-11,2,2.3333333333333335,False
CARNIVAL HYBRID,2025-12,1,2.1666666666666665,False
CARNIVAL HYBRID,2026-01,3,2.1666666666666665,False
CARNIVAL HYBRID,2026-02,2,2.5,False
CARNIVAL HYBRID,2026-03,0,2.1666666666666665,False
CARNIVAL HYBRID,2026-04,2,1.6666666666666667,False
CARNIVAL HYBRID,2026-05,2,1.6666666666666667,False
CARNIVAL HYBRID,2026-06,5,1.6666666666666667,False
ELANTRA,2022-07,10,14.166666666666666,False
ELANTRA,2022-08,18,14.0,False
ELANTRA,2022-09,16,15.333333333333334,False
ELANTRA,2022-10,20,15.166666666666666,False
ELANTRA,2022-11,15,16.5,False
ELANTRA,2022-12,10,15.5,False
ELANTRA,2023-01,17,14.833333333333334,False
ELANTRA,2023-02,13,16.0,False
ELANTRA,2023-03,22,15.166666666666666,False
ELANTRA,2023-04,32,16.166666666666668,False
ELANTRA,2023-05,14,18.166666666666668,False
ELANTRA,2023-06,19,18.0,False
ELANTRA,2023-07,18,19.5,False
ELANTRA,2023-08,39,19.666666666666668,False
ELANTRA,2023-09,21,24.0,False
ELANTRA,2023-10,19,23.833333333333332,False
ELANTRA,2023-11,23,21.666666666666668,False
ELANTRA,2023-12,37,23.166666666666668,False
ELANTRA,2024-01,32,26.166666666666668,False
ELANTRA,2024-02,21,28.5,False
ELANTRA,2024-03,25,25.5,False
ELANTRA,2024-04,43,26.166666666666668,False
ELANTRA,2024-05,14,30.166666666666668,False
ELANTRA,2024-06,28,28.666666666666668,False
ELANTRA,2024-07,28,27.166666666666668,False
ELANTRA,2024-08,12,26.5,False
ELANTRA,2024-09,13,25.0,False
ELANTRA,2024-10,15,23.0,False
ELANTRA,2024-11,9,18.333333333333332,False
ELANTRA,2024-12,24,17.5,False
ELANTRA,2025-01,24,16.833333333333332,False
ELANTRA,2025-02,8,16.166666666666668,False
ELANTRA,2025-03,15,15.5,False
ELANTRA,2025-04,13,15.833333333333334,False
ELANTRA,2025-05,11,15.5,False
ELANTRA,2025-06,16,15.833333333333334,False
ELANTRA,2025-07,23,14.5,False
ELANTRA,2025-08,16,14.333333333333334,False
ELANTRA,2025-09,15,15.666666666666666,False
ELANTRA,2025-10,10,15.666666666666666,False
ELANTRA,2025-11,35,15.166666666666666,True
ELANTRA,2025-12,23,19.166666666666668,False
ELANTRA,2026-01,22,20.333333333333332,False
ELANTRA,2026-02,15,20.166666666666668,False
ELANTRA,2026-03,15,20.0,False
ELANTRA,2026-04,24,20.0,False
ELANTRA,2026-05,17,22.333333333333332,False
ELANTRA,2026-06,18,19.333333333333332,False
ELANTRA GT,2022-07,1,0.16666666666666666,False
ELANTRA GT,2022-08,0,0.3333333333333333,False
ELANTRA GT,2022-09,1,0.3333333333333333,False
ELANTRA GT,2022-10,0,0.5,False
ELANTRA GT,2022-11,0,0.3333333333333333,False
ELANTRA GT,2022-12,3,0.3333333333333333,False
ELANTRA GT,2023-01,0,0.8333333333333334,False
ELANTRA GT,2023-02,0,0.6666666666666666,False
ELANTRA GT,2023-03,0,0.6666666666666666,False
ELANTRA GT,2023-04,0,0.5,False
ELANTRA GT,2023-05,0,0.5,False
ELANTRA GT,2023-06,0,0.5,False
ELANTRA GT,2023-07,0,0.0,False
ELANTRA GT,2023-08,0,0.0,False
ELANTRA GT,2023-09,0,0.0,False
ELANTRA GT,2023-10,1,0.0,False
ELANTRA GT,2023-11,1,0.16666666666666666,False
ELANTRA GT,2023-12,0,0.3333333333333333,False
ELANTRA GT,2024-01,1,0.3333333333333333,False
ELANTRA GT,2024-02,0,0.5,False
ELANTRA GT,2024-03,0,0.5,False
ELANTRA GT,2024-04,0,0.5,False
ELANTRA GT,2024-05,2,0.3333333333333333,False
ELANTRA GT,2024-06,0,0.5,False
ELANTRA GT,2024-07,1,0.5,False
ELANTRA GT,2024-08,3,0.5,False
ELANTRA GT,2024-09,0,1.0,False
ELANTRA GT,2024-10,0,1.0,False
ELANTRA GT,2024-11,1,1.0,False
